你最近的精神状态怎么样？,精神状态堪忧
你听说过这个吗？,我没听说过这玩意
你觉得天津菜有什么特色菜吗？,天津菜比较有代表性的是八珍豆腐、老爆三、新爆三、全爆、八大碗
你听说过这个吗？,这个确实没听过
你怎么看操盘手的成绩？,操盘手 7-1
你觉得这种行为怎么样？,这种是非常 low 的
你觉得大模型和显卡之间有什么关系？,大模型，显卡，这是一条线
你在那节课续了吗？,不是在那节课续
那节课是怎么用的？,是用那节课做个钩子
你觉得哪节课最精彩？,就是 100 节特精彩
怎么才能继续听课？,想听就要续第三年的
你对这个有什么期待吗？,我挺期盼的
这件事结束了吗？,那早就过了
你觉得这件事有多难？,两年半多才能有一次整百，不容易的
每周高见一共做了多少期？,每周高见当时做了 109 期
这件事花了多久？,差不多是两年半
一坤年是多久？,是，一坤年十八
这个事情谁说了算？,这个的决定权在你们，不在于我
你觉得这种变化怎么样？,有些地方变成水手服的红披肩了
你用的是什么？,我用的这个
这东西有什么好处？,这东西可以自己定义代理规则，比较方便
你用的这个流量套餐怎么样？,我用的这个每月 100g 流量，一年 99 块
这个套餐够用吗？,常规需求都够用了
你觉得这个怎么样？,你这个感觉更便宜啊
你怎么看这些计划？,客观的说，有人有计划的解构一些东西
这个东西价格怎么样？,明显这个便宜
为什么对外说要简化？,对外说是因为低年级的不会那个三折技法，简化
你对三折技法有什么看法？,但三折是个意识，有说法的
你觉得美军应该怎么做？,美军应该有什么动作？
你觉得反击胡赛有什么要求吗？,反击胡赛是不是必须得打赢才行？
你觉得美国在阿富汗赢了吗？,美国在阿富汗算赢么
你觉得苹果的本子怎么样？,苹果的本子还是好用的
船型帽的传统戴法是怎样的？,船型帽传统的戴法确实是向右倾斜的
你对中国军队有什么看法？,是你基于对中国军队的印象带来的刻板印象
你怎么看这种观点？,这种观点简直了
你觉得教育是什么？,90期讲一下教育是什么吧
你觉得传统企业为什么不想改产品？,产品对传统企业太重了，不想改
你觉得手机号码注册会改变吗？,不可能，肯定还是手机号码注册，背后绑定实名
你怎么看人类在自然界中的地位？,其实从自然界来看，人类才是 bug
你觉得人类繁衍后还不死奇怪吗？,不是，是繁衍了之后还不死，从自然界来讲这个很奇怪的
你觉得碳基肉身设计有什么局限？,自然界来讲，碳基肉身设计能力就没有这些属性
你觉得人类改造自然有什么特点？,是有主观能动性的改造自然
你觉得大模型出来多久了？,显然没有，大模型出来才一年多
你觉得用 AI 分身教孩子怎么样？,是训练父母的 ai 分身，然后用 ai 分身教孩子吧？
你觉得用什么方法比较好？,prompt+RAG 吧？
你觉得可以不在拼多多做吗？,但可以不在拼多多做
你用什么设备？,罗技 spotlight
你觉得可以不做商家，做消费者吗？,可以选择不做商家，做消费者啊
拼多多的价格是多少？,拼多多多少钱？
你觉得做平台和拼多多竞争怎么样？,做平台，和拼多多正面竞争
你觉得小红书怎么样？,小红书必投
你怎么看待佛系的态度？,嗯，所有有时显得过于佛系
你觉得我的精神内核怎么样？,我觉得你精神内核肯定有天津的元素
你觉得这个菜怎么样？,太油了，吃的没这么多
你觉得这是一个物种吗？,这就不是一个物种
你觉得这是小学必修的吗？,嗯，小学必修的东西啊
你们学过报菜名吗？,报菜名你们没学过么？
基础的课程还有什么？,基础的还有扒马褂、绕口令
初中学什么？,到初中学八扇屏
你读过张二伯历险记吗？,然后张二伯历险记
这段话是什么意思？,这是第一段的气口
完整的内容是什么？,完整的要到腌柸蓝丝
后半段高考考吗？,不过后半段高考不考基本没人背
天津高考卷和全国卷一样吗？,天津高考卷不是全国卷
海边的人一般信什么？,一般海边的都信
在天津叫什么？,但在天津不怎么叫妈祖
你什么时候知道那个庙是妈祖庙的？,那个庙我到大学时才知道是妈祖庙
你觉得天津人信的东西怎么样？,天津信的东西太杂
天津人信谁？,有信马三立的，有信苏文茂的
你觉得提篮桥应该弄什么庙？,提篮桥应该弄个财神庙
你最近读了什么书？,没，最近一本读的文学书是余华的一本几年前的书《我们活在巨大的差距中》
你推荐这本书吗？,不过不推荐
还有什么？,下面还有一个
左边是什么地方？,左边是某地演习场
右边是什么地方？,右边是台湾
左边的地方有什么特别的？,左边的地方还有伪总统府1:1复刻
你练习了多少次？,练习无数次了，闭着眼都能走
你觉得中国军队的准备力怎么样？,不要低估中国军队的准备力
你觉得这个事情有多离谱？,看看这个能体会下多离谱
中国有多少末日部队？,中国有好几个末日部队
中国现在有什么特别的部队？,中国现在还有信鸽部队和骑兵部队
他们在做什么准备？,做的是彻底废土化的战争准备
你怎么祝福同学们？,各位同学端午快乐
你觉得用印度人怎么样？,用印度人就很传神
你买书有什么优惠吗？,那岂不是我买一本相当于白得一本，哈哈哈
你买书得到了什么？,哦，不是，是佣金
买书有什么优惠活动？,买 6 本免费得一本
你最近还买纸质书吗？,不用了，谢谢，最近纸版几乎不买了
你的书架怎么样了？,书架又又又满了
你现在买什么样的书？,我现在纸质书的份额已经只能给特装书了
